isolate_id,cultivar,replicate,dpo,percent_infected
MAC-17-47,HAES-789,1,9,68.9
MAC-17-47,HAES-789,2,9,93.62
MAC-17-47,HAES-789,3,9,85.65
MAC-17-47,HAES-789,1,12,100
MAC-17-47,HAES-789,2,12,100
MAC-17-47,HAES-789,3,12,100
MAC-17-47,HAES-789,1,14,100
MAC-17-47,HAES-789,2,14,100
MAC-17-47,HAES-789,3,14,100
MAC-17-47,HAES-853,1,9,2.02
MAC-17-47,HAES-853,2,9,0
MAC-17-47,HAES-853,3,9,0
MAC-17-47,HAES-853,1,12,100
MAC-17-47,HAES-853,2,12,8.35
MAC-17-47,HAES-853,3,12,86.04
MAC-17-47,HAES-853,1,14,100
MAC-17-47,HAES-853,2,14,54.51
MAC-17-47,HAES-853,3,14,100
MAC-17-47,HAES-783,1,9,0
MAC-17-47,HAES-783,2,9,0
MAC-17-47,HAES-783,3,9,12.65
MAC-17-47,HAES-783,1,12,7.96
MAC-17-47,HAES-783,2,12,100
MAC-17-47,HAES-783,3,12,97.41
MAC-17-47,HAES-783,1,14,50.62
MAC-17-47,HAES-783,2,14,100
MAC-17-47,HAES-783,3,14,100
MAC-17-47,HAES-794,1,9,0
MAC-17-47,HAES-794,2,9,0
MAC-17-47,HAES-794,3,9,0
MAC-17-47,HAES-794,1,12,3.84
MAC-17-47,HAES-794,2,12,0
MAC-17-47,HAES-794,3,12,2.31
MAC-17-47,HAES-794,1,14,29.15
MAC-17-47,HAES-794,2,14,0
MAC-17-47,HAES-794,3,14,46.77
