cultivar,isolate_id,replicate,dpo,percent_infected
HAES-789,MAC-17-43,1,7,0
HAES-789,MAC-17-43,2,7,0
HAES-789,MAC-17-43,3,7,0
HAES-789,MAC-17-43,4,7,0
HAES-789,MAC-17-43,5,7,0
HAES-789,MAC-17-43,1,10,0
HAES-789,MAC-17-43,2,10,2.64
HAES-789,MAC-17-43,3,10,0
HAES-789,MAC-17-43,4,10,19.23
HAES-789,MAC-17-43,5,10,0
HAES-789,MAC-17-43,1,12,19.89
HAES-789,MAC-17-43,2,12,33.56
HAES-789,MAC-17-43,3,12,35.77
HAES-789,MAC-17-43,4,12,90.77
HAES-789,MAC-17-43,5,12,14.69
HAES-789,MAC-17-43,1,14,82.89
HAES-789,MAC-17-43,2,14,100
HAES-789,MAC-17-43,3,14,100
HAES-789,MAC-17-43,4,14,100
HAES-789,MAC-17-43,5,14,41.23
HAES-789,MAC-17-46,1,7,26.59
HAES-789,MAC-17-46,2,7,0
HAES-789,MAC-17-46,3,7,0
HAES-789,MAC-17-46,4,7,0
HAES-789,MAC-17-46,5,7,0
HAES-789,MAC-17-46,1,10,92.65
HAES-789,MAC-17-46,2,10,0
HAES-789,MAC-17-46,3,10,71.62
HAES-789,MAC-17-46,4,10,0
HAES-789,MAC-17-46,5,10,3.17
HAES-789,MAC-17-46,1,12,100
HAES-789,MAC-17-46,2,12,22.21
HAES-789,MAC-17-46,3,12,100
HAES-789,MAC-17-46,4,12,56.02
HAES-789,MAC-17-46,5,12,28.55
HAES-789,MAC-17-46,1,14,100
HAES-789,MAC-17-46,2,14,69
HAES-789,MAC-17-46,3,14,100
HAES-789,MAC-17-46,4,14,100
HAES-789,MAC-17-46,5,14,100
HAES-789,MAC-17-47,1,7,0.5
HAES-789,MAC-17-47,2,7,38.53
HAES-789,MAC-17-47,3,7,0
HAES-789,MAC-17-47,4,7,1.44
HAES-789,MAC-17-47,5,7,0
HAES-789,MAC-17-47,1,10,43.58
HAES-789,MAC-17-47,2,10,25.85
HAES-789,MAC-17-47,3,10,36.93
HAES-789,MAC-17-47,4,10,45.61
HAES-789,MAC-17-47,5,10,23.45
HAES-789,MAC-17-47,1,12,100
HAES-789,MAC-17-47,2,12,100
HAES-789,MAC-17-47,3,12,100
HAES-789,MAC-17-47,4,12,100
HAES-789,MAC-17-47,5,12,72.3
HAES-789,MAC-17-47,1,14,100
HAES-789,MAC-17-47,2,14,100
HAES-789,MAC-17-47,3,14,100
HAES-789,MAC-17-47,4,14,100
HAES-789,MAC-17-47,5,14,100
HAES-789,control,1,7,0
HAES-789,control,2,7,0
HAES-789,control,3,7,0
HAES-789,control,4,7,0
HAES-789,control,5,7,0
HAES-789,control,1,10,0
HAES-789,control,2,10,0
HAES-789,control,3,10,0
HAES-789,control,4,10,0
HAES-789,control,5,10,0
HAES-789,control,1,12,0
HAES-789,control,2,12,0
HAES-789,control,3,12,0
HAES-789,control,4,12,5.27
HAES-789,control,5,12,19.52
HAES-789,control,1,14,0
HAES-789,control,2,14,0
HAES-789,control,3,14,0
HAES-789,control,4,14,19.44
HAES-789,control,5,14,89.68
